4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
145	5.141577087067701e-08	1.587820979153398e-07	6.2836396146805e-08	1.596372806439699e-07	1.1425216701748201e-07	2.3276994956136641e-07
146	5.084448452766949e-08	1.57989464114394e-07	7.708142081544934e-08	2.0799242752816031e-07	1.2792590534311884e-07	2.6499105368242967e-07
147	5.320934427314249e-08	1.6123212944700342e-07	6.83657926637928e-08	1.9861266614441984e-07	1.215751369369353e-07	2.616524390092963e-07
148	5.320934427314249e-08	1.6123212944700342e-07	6.83657926637928e-08	1.9861266614441984e-07	1.215751369369353e-07	2.616524390092963e-07
149	5.141577087067701e-08	1.587820979153398e-07	6.606132774254135e-08	1.9562605477374188e-07	1.1747709861321837e-07	2.5813894837032736e-07
150	5.320934427314249e-08	1.6123212944700342e-07	6.83657926637928e-08	1.9861266614441984e-07	1.2157513693693527e-07	2.6165243900929626e-07
151	6.620121367650661e-08	2.0053135152200747e-07	6.757997895501357e-08	1.9760233484319694e-07	1.3378119263152016e-07	2.8370412357927245e-07
152	6.939163361272379e-08	2.0476670105931994e-07	7.083684541067688e-08	2.0173681972439674e-07	1.4022847902340066e-07	2.8889942499667966e-07
153	6.697099523088459e-08	2.0156602112184523e-07	6.83657926637928e-08	1.9861266614441984e-07	1.3533678789467737e-07	2.849796620676876e-07
154	7.290513404881108e-08	2.0927555359309143e-07	6.372277987662598e-08	1.8687900177292007e-07	1.3662791392543704e-07	2.839636762399017e-07
155	7.110500728217377e-08	2.0698518374180093e-07	6.21493779043636e-08	1.8482216361544834e-07	1.3325438518653736e-07	2.8123639548571526e-07
156	7.02378730470253e-08	2.0586718527686866e-07	6.139145866162747e-08	1.838183503607869e-07	1.3162933170865275e-07	2.798986512458672e-07
157	7.110500728217377e-08	2.0698518374180093e-07	5.8703355360787374e-08	1.8334070095246827e-07	1.2980836264296112e-07	2.811379546133099e-07
158	7.290513404881108e-08	2.0927555359309143e-07	6.018951625599718e-08	1.854058896542966e-07	1.330946503048082e-07	2.839051569702835e-07
159	7.679340786474767e-08	2.1408751464221727e-07	6.339962378965038e-08	1.8975029903585566e-07	1.40193031654398e-07	2.896649361842871e-07
160	7.578296828757994e-08	2.1285433080479156e-07	6.256541821347075e-08	1.8863620036823474e-07	1.3834838650105065e-07	2.881960367122802e-07
161	7.578296828757994e-08	2.1285433080479156e-07	5.57354206236403e-08	1.812354728954527e-07	1.315183889112202e-07	2.852276829209399e-07
162	7.783115661967668e-08	2.1534174206116117e-07	5.724178334319815e-08	1.8343338707584918e-07	1.350729399628748e-07	2.8822471556528986e-07
163	8.111979704022641e-08	2.1923657335302944e-07	5.966045024502343e-08	1.868829769737859e-07	1.407802472852498e-07	2.9288249836801636e-07
164	8.111979704022641e-08	2.1923657335302944e-07	5.966045024502343e-08	1.868829769737859e-07	1.407802472852498e-07	2.9288249836801636e-07
165	7.889733684734349e-08	2.1661759132736303e-07	5.802591736159813e-08	1.845622828969903e-07	1.369232542089416e-07	2.8975529086246846e-07
166	7.999313319244549e-08	2.1791566151824395e-07	8.818456061775676e-08	3.0365694485373545e-07	1.6817769381020224e-07	3.713257224745661e-07
167	8.266156298674071e-08	2.1809603426540622e-07	8.818456061775676e-08	3.0365694485373545e-07	1.7084612360449747e-07	3.707975299010545e-07
168	8.625554398616423e-08	2.2208998429083392e-07	6.84044069466051e-08	2.688226256633225e-07	1.5465995093276932e-07	3.501713935708529e-07
169	8.382581035275116e-08	2.1940425738236534e-07	7.594856883772041e-08	2.7455031415012453e-07	1.5977437919047157e-07	3.510736751795412e-07
170	7.378365977583127e-08	1.9828390929318435e-07	7.929924099232572e-08	2.8006724857888843e-07	1.5308290076815698e-07	3.45067884463857e-07
171	7.488490842920189e-08	1.9955163578001272e-07	8.048281175340522e-08	2.819807050538952e-07	1.5536772018260708e-07	3.471225279633424e-07
172	7.488490842920189e-08	1.9955163578001272e-07	8.048281175340522e-08	2.819807050538952e-07	1.5536772018260708e-07	3.471225279633424e-07
173	7.378365977583127e-08	1.9828390929318435e-07	7.929924099232572e-08	2.8006724857888843e-07	1.5308290076815698e-07	3.45067884463857e-07
