4.2_YBP	4.2_ns	4.2_nsStd	4.2_s	4.2_sStd	4.2_all	4.2_allStd
126	1.1662306561445339e-07	2.3467894274163442e-07	3.457418754580673e-08	1.168763995110924e-07	1.511972531602601e-07	2.827309096006503e-07
127	1.1662306561445339e-07	2.3467894274163442e-07	3.457418754580673e-08	1.168763995110924e-07	1.511972531602601e-07	2.827309096006503e-07
128	1.1544505485067102e-07	2.3378172847932243e-07	3.422495332817232e-08	1.1633599852366888e-07	1.4967000817884335e-07	2.817053565679947e-07
129	1.1429060430216431e-07	2.3289332419779157e-07	3.388270379489059e-08	1.15802937123953e-07	1.4817330809705493e-07	2.8068861722958724e-07
130	1.0309880652980885e-07	2.1400259795311708e-07	3.1112625761141575e-08	1.123683330940415e-07	1.342114322909504e-07	2.6200350779523917e-07
131	1.0417275243116103e-07	2.1485411161868748e-07	3.1436715612820136e-08	1.1290695942061121e-07	1.3560946804398116e-07	2.630043954494782e-07
132	1.0204677789174956e-07	2.1315991788975438e-07	3.07951499880687e-08	1.1183727333848757e-07	1.3284192787981828e-07	2.610120647930683e-07
133	9.797276893799708e-08	1.9489747319490114e-07	3.143671561282013e-08	1.1290695942061122e-07	1.2940948455081721e-07	2.477576679737781e-07
134	9.797276893799708e-08	1.9489747319490117e-07	3.143671561282014e-08	1.1290695942061122e-07	1.2940948455081721e-07	2.477576679737781e-07
135	1.0005729593667788e-07	1.9642974557196699e-07	3.210558190245461e-08	1.1400763480045467e-07	1.3216287783913245e-07	2.496517680227127e-07
136	1.0005729593667788e-07	1.9642974557196699e-07	3.210558190245461e-08	1.1400763480045467e-07	1.3216287783913245e-07	2.496517680227127e-07
137	1.0005729593667788e-07	1.9642974557196699e-07	3.210558190245461e-08	1.1400763480045467e-07	1.3216287783913245e-07	2.496517680227127e-07
138	1.0005729593667788e-07	1.9642974557196699e-07	3.210558190245461e-08	1.1400763480045467e-07	1.3216287783913245e-07	2.496517680227127e-07
139	9.900406124260757e-08	1.9565982035231849e-07	3.176762840874456e-08	1.1345333159350938e-07	1.3077168965135212e-07	2.4870036206922714e-07
140	1.0023530899894548e-07	2.0720228245971257e-07	4.202118778347815e-08	1.5287753237373648e-07	1.4225649678242366e-07	3.1241496451971923e-07
141	1.0208328140245855e-07	2.1041230333951704e-07	4.3828550698896557e-08	1.5587672478691353e-07	1.459118321013551e-07	3.178897157631546e-07
142	1.0432687000471039e-07	2.121610501542013e-07	4.479181554942176e-08	1.5744338382380701e-07	1.4911868555413215e-07	3.206191413853289e-07
143	1.1929486840284732e-07	2.5477593247906153e-07	4.4304947989101964e-08	1.5665423841593686e-07	1.6359981639194925e-07	3.4750865570273465e-07
144	1.206058010226588e-07	2.5586319571232656e-07	4.4791815549421766e-08	1.57443383823807e-07	1.653976165720806e-07	3.4898706536096854e-07
145	1.1750973570999852e-07	2.549524204981312e-07	4.289521918608246e-08	1.575015419079636e-07	1.6040495489608095e-07	3.464378314658118e-07
146	1.2742666836347307e-07	2.7024296577236877e-07	4.241860563957042e-08	1.5668861665339218e-07	1.6984527400304348e-07	3.5583320718614493e-07
147	1.2705152167377085e-07	2.717780193439775e-07	3.808959556736111e-08	1.5069831504106558e-07	1.6514111724113197e-07	3.48944296540716e-07
148	1.2705152167377085e-07	2.717780193439775e-07	3.808959556736111e-08	1.5069831504106558e-07	1.6514111724113197e-07	3.48944296540716e-07
149	1.2276888611173364e-07	2.681404339432226e-07	4.512805146190684e-08	1.6575331249208594e-07	1.6789693757364048e-07	3.4926355660736516e-07
150	1.2155405981342957e-07	2.6950119114230503e-07	4.670228581522917e-08	1.684014287665817e-07	1.6825634562865872e-07	3.5285090142724286e-07
151	1.2733271435049727e-07	2.8011483402247734e-07	4.61654779322955e-08	1.6750479757957027e-07	1.7349819228279277e-07	3.594887763194967e-07
152	1.334692307047381e-07	2.8535363524234264e-07	4.8390320242285656e-08	1.7117938622990525e-07	1.8185955094702375e-07	3.659776553966346e-07
153	1.2881332730806117e-07	2.8140002376449525e-07	4.670228581522918e-08	1.684014287665817e-07	1.7551561312329035e-07	3.610828038204922e-07
154	1.402271664366236e-07	2.9086409491194926e-07	5.084046303936341e-08	1.7510419983768735e-07	1.9106762947598702e-07	3.7277611598958586e-07
155	1.3676476726534892e-07	2.8807380926994046e-07	4.95851429643174e-08	1.73108787836332e-07	1.863499102296663e-07	3.6933726850978025e-07
156	1.4242081355759733e-07	2.908019059309693e-07	4.8980446098898894e-08	1.7213606178712274e-07	1.9140125965649616e-07	3.698828026822395e-07
157	1.3975441562869876e-07	2.915935124284652e-07	4.9585142964317393e-08	1.73108787836332e-07	1.8933955859301614e-07	3.716904498777463e-07
158	1.2083983258671533e-07	2.5247246288765974e-07	5.08404630393634e-08	1.7510419983768738e-07	1.7168029562607874e-07	3.4651663382866707e-07
159	1.1905471964337732e-07	2.515335237333047e-07	5.3551954401462794e-08	1.7930854445635358e-07	1.726066740448401e-07	3.502154716323939e-07
160	1.1748821017438552e-07	2.5024122685738247e-07	5.284732342249618e-08	1.782294734650341e-07	1.703355335968817e-07	3.48459330722364e-07
161	9.843599866445974e-08	2.236129436951035e-07	3.892455347293502e-08	1.3531945975460891e-07	1.3736055213739478e-07	2.657858120782916e-07
162	1.0109643106079649e-07	2.2602038404788756e-07	3.9976568431663e-08	1.3698248705178568e-07	1.410729994924595e-07	2.6837961492543824e-07
163	9.79164878931777e-08	2.2442381900132622e-07	3.4214095857179414e-08	1.2692402625878235e-07	1.3213058375035714e-07	2.5017088234059517e-07
164	9.79164878931777e-08	2.2442381900132622e-07	3.4214095857179414e-08	1.2692402625878235e-07	1.3213058375035714e-07	2.5017088234059517e-07
165	9.523384438925502e-08	2.2190456776204753e-07	3.327672336794162e-08	1.2529780226181538e-07	1.2851056775719663e-07	2.476610794220962e-07
166	9.655653667243912e-08	2.2315428347984558e-07	3.373890008138525e-08	1.2610311286387406e-07	1.3029543675382437e-07	2.489082943705371e-07
167	8.798371999053342e-08	2.1468198490831595e-07	3.373890008138525e-08	1.2610311286387406e-07	1.2172262007191866e-07	2.425372841979451e-07
168	7.717092992457532e-08	1.8822727212952753e-07	3.5205808780575916e-08	1.2861470544602908e-07	1.1237673870515123e-07	2.223261705910657e-07
169	7.499710091261545e-08	1.85996028436981e-07	3.4214095857179414e-08	1.2692402625878235e-07	1.0921119676979485e-07	2.19959711394027e-07
170	6.469014651691001e-08	1.5875264174691713e-07	3.2283798098633984e-08	1.272630004050755e-07	9.6973944615544e-08	2.0038790802115583e-07
171	6.565567109178927e-08	1.5973466856138817e-07	3.276564583144942e-08	1.2814762050820845e-07	9.842131692323867e-08	2.0152467450044428e-07
172	6.565567109178927e-08	1.5973466856138817e-07	3.276564583144942e-08	1.2814762050820845e-07	9.842131692323867e-08	2.0152467450044428e-07
173	6.469014651691001e-08	1.5875264174691713e-07	3.2283798098633984e-08	1.272630004050755e-07	9.697394461554402e-08	2.0038790802115583e-07
174	6.076963242779162e-08	1.547590883937663e-07	3.377381954934016e-08	1.2997326381806974e-07	9.454345197713178e-08	1.9951922221799127e-07
175	5.810250089679689e-08	1.5447399997245884e-07	3.430153547979861e-08	1.3091562831167142e-07	9.240403637659549e-08	2.0033074487642342e-07
176	4.3534314212538724e-08	1.1300313234950288e-07	3.377381954934017e-08	1.2997326381806974e-07	7.730813376187888e-08	1.72602020756875e-07
177	4.4916355933571703e-08	1.1451209192038869e-07	3.4846004296938267e-08	1.3187863827323774e-07	7.976236023050998e-08	1.7476116053470192e-07
178	4.421453787210964e-08	1.1375042343791142e-07	3.430153547979861e-08	1.3091562831167142e-07	7.851607335190826e-08	1.7367241122418517e-07
179	4.421453787210964e-08	1.1375042343791142e-07	2.2728232959225903e-08	9.605560525117881e-08	6.694277083133555e-08	1.5255589280508161e-07
